letter,all_candidates
ZOZ_arial_Approach2,56
ZSM_arial_Approach2,80
A_perspire_Boundaries,56
ACI_perspire_Boundaries,113
AEJ_perspire_Boundaries,92
AEY_perspire_Boundaries,105
AJD_perspire_Boundaries,206
AKV_perspire_Boundaries,121
ANC_perspire_Boundaries,141
ARV_perspire_Boundaries,139
AW_perspire_Boundaries,108
AX_perspire_Boundaries,92
AXF_perspire_Boundaries,92
AZ_perspire_Boundaries,87
AZH_perspire_Boundaries,119
AT_perspire_Boundaries,87
B_perspire_Boundaries,88
BEV_perspire_Boundaries,145
BKQ_perspire_Boundaries,121
BLC_perspire_Boundaries,132
BO_perspire_Boundaries,100
BTM_perspire_Boundaries,160
BVD_perspire_Boundaries,159
BOC_perspire_Boundaries,136
CBS_perspire_Boundaries,110
CGY_perspire_Boundaries,158
CIO_perspire_Boundaries,104
COP_perspire_Boundaries,146
CRK_perspire_Boundaries,134
CU_perspire_Boundaries,90
CUH_perspire_Boundaries,131
CV_perspire_Boundaries,90
CWC_perspire_Boundaries,136
CXS_perspire_Boundaries,121
CVG_perspire_Boundaries,149
DAQ_perspire_Boundaries,211
DCJ_perspire_Boundaries,207
DGC_perspire_Boundaries,215
DGH_perspire_Boundaries,251
DI_perspire_Boundaries,117
DIH_perspire_Boundaries,189
DJI_perspire_Boundaries,194
DMF_perspire_Boundaries,189
DMP_perspire_Boundaries,265
DP_perspire_Boundaries,140
DU_perspire_Boundaries,153
DV_perspire_Boundaries,225
EDH_perspire_Boundaries,189
EHX_perspire_Boundaries,80
EL_perspire_Boundaries,32
EOB_perspire_Boundaries,100
EP_perspire_Boundaries,48
ER_perspire_Boundaries,54
ETC_perspire_Boundaries,68
EU_perspire_Boundaries,44
EVG_perspire_Boundaries,103
FHP_perspire_Boundaries,88
FL_perspire_Boundaries,32
FPJ_perspire_Boundaries,85
FSB_perspire_Boundaries,112
FUX_perspire_Boundaries,80
G_perspire_Boundaries,62
GC_perspire_Boundaries,105
GD_perspire_Boundaries,176
GEZ_perspire_Boundaries,94
GHJ_perspire_Boundaries,137
GM_perspire_Boundaries,114
GMU_perspire_Boundaries,156
GPS_perspire_Boundaries,131
GTB_perspire_Boundaries,178
GWG_perspire_Boundaries,163
HI_perspire_Boundaries,58
HKD_perspire_Boundaries,352
HO_perspire_Boundaries,96
HBV_perspire_Boundaries,219
IA_perspire_Boundaries,60
IB_perspire_Boundaries,88
IBY_perspire_Boundaries,126
IC_perspire_Boundaries,52
IH_perspire_Boundaries,48
IN_perspire_Boundaries,48
IP_perspire_Boundaries,56
IZ_perspire_Boundaries,47
JA_perspire_Boundaries,90
JB_perspire_Boundaries,130
JBR_perspire_Boundaries,152
JC_perspire_Boundaries,83
JCD_perspire_Boundaries,158
JD_perspire_Boundaries,190
JHR_perspire_Boundaries,121
JJ_perspire_Boundaries,74
JNY_perspire_Boundaries,122
JO_perspire_Boundaries,91
JRA_perspire_Boundaries,130
JXD_perspire_Boundaries,234
KGO_perspire_Boundaries,148
KIW_perspire_Boundaries,95
