letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
NWF_arial_Approach1,10,2,0,6,14,23.5,47,1.9672131147541,5.90689059560852,3.09076189841594,479,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,21,5,0,10,21,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,5,1,0,10,21,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,9,2,0,10,21,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,13,3,0,10,21,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
NWW_arial_Approach1,17,4,0,10,21,32.0,64,1.97260273972603,6.16992500144232,3.12112726683117,500,0.5,0.9,1.0,0.5,Approach1,LSP
OGB_arial_Approach1,4,1,0,2,4,51.5,103,2.08333333333333,6.22881869049589,3.14145436553561,567,0.6,0.9,1.0,0.5,Approach1,LSP
OGW_arial_Approach1,4,1,0,2,4,44.0,88,2.02702702702703,6.22881869049589,3.18802167664414,517,0.6,0.9,1.0,0.5,Approach1,LSP
OMJ_arial_Approach1,12,3,0,5,12,32.0,64,2.05479452054794,6.22881869049589,3.22199609539938,619,0.6,0.9,1.0,0.6,Approach1,LSP
OMJ_arial_Approach1,6,1,0,5,12,32.0,64,2.05479452054794,6.22881869049589,3.22199609539938,619,0.6,0.9,1.0,0.6,Approach1,LSP
OMJ_arial_Approach1,10,2,0,5,12,32.0,64,2.05479452054794,6.22881869049589,3.22199609539938,619,0.6,0.9,1.0,0.6,Approach1,LSP
PJW_arial_Approach1,4,1,0,2,4,32.0,64,2.05263157894737,6.28540221886226,3.18984230678412,601,0.6,0.9,1.0,0.6,Approach1,LSP
PQW_arial_Approach1,8,2,0,4,8,47.0,94,2.04878048780488,6.39231742277876,3.17836725142382,670,0.6,0.9,1.0,0.6,Approach1,LSP
PQW_arial_Approach1,4,1,0,4,8,47.0,94,2.04878048780488,6.39231742277876,3.17836725142382,670,0.6,0.9,1.0,0.6,Approach1,LSP
RMJ_arial_Approach1,5,1,0,2,5,34.5,69,2.05970149253731,6.10852445677816,3.16268083886622,631,0.6,0.9,1.0,0.6,Approach1,LSP
SNO_arial_Approach1,4,1,0,2,4,44.5,89,2.06896551724138,6.49185309632966,3.14660339100838,803,0.6,1.0,1.0,0.7,Approach1,LSP
SD_arial_Approach1,6,1,0,2,6,40.5,81,2.06896551724138,5.90689059560852,3.15029365008978,599,0.6,0.9,1.0,0.6,Approach1,LSP
TSM_arial_Approach1,8,2,0,3,8,38.5,77,2.0506329113924,6.33985000288461,3.13153545169722,672,0.6,0.9,1.0,0.6,Approach1,LSP
TSM_arial_Approach1,6,1,0,3,8,38.5,77,2.0506329113924,6.33985000288461,3.13153545169722,672,0.6,0.9,1.0,0.6,Approach1,LSP
UNY_arial_Approach1,10,2,0,4,10,22.5,45,1.96153846153846,5.6724253419715,3.16551088029634,370,0.5,0.8,1.0,0.4,Approach1,LSP
UNY_arial_Approach1,6,1,0,4,10,22.5,45,1.96153846153846,5.6724253419715,3.16551088029634,370,0.5,0.8,1.0,0.4,Approach1,LSP
VNM_arial_Approach1,9,2,0,4,9,19.5,39,1.96153846153846,5.6724253419715,3.12056619779224,236,0.5,0.8,1.0,0.3,Approach1,LSP
VNM_arial_Approach1,5,1,0,4,9,19.5,39,1.96153846153846,5.6724253419715,3.12056619779224,236,0.5,0.8,1.0,0.3,Approach1,LSP
WD_arial_Approach1,4,1,0,2,4,28.0,56,2.0,5.16992500144231,3.09760947549432,244,0.5,0.8,1.0,0.3,Approach1,LSP
WF_arial_Approach1,5,1,0,2,5,18.0,36,1.95348837209302,5.39231742277876,3.09423394908777,236,0.5,0.8,1.0,0.3,Approach1,LSP
WFD_arial_Approach1,5,1,0,2,5,35.5,71,2.04081632653061,5.64385618977473,3.14230806138225,363,0.6,0.8,1.0,0.4,Approach1,LSP
WG_arial_Approach1,8,2,0,4,8,32.0,64,1.96875,5.97727992349992,3.17319886414852,349,0.5,0.9,1.0,0.4,Approach1,LSP
WG_arial_Approach1,4,1,0,4,8,32.0,64,1.96875,5.97727992349992,3.17319886414852,349,0.5,0.9,1.0,0.4,Approach1,LSP
