letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
XIT_Average-Regular_Approach2,10,3,0,4,10,64.0,128,2.14285714285714,3.90689059560852,2.41592206383517,292,0.6,0.6,0.8,0.3,Approach2,LSP
XIT_Average-Regular_Approach2,5,1,0,4,10,64.0,128,2.14285714285714,3.90689059560852,2.41592206383517,292,0.6,0.6,0.8,0.3,Approach2,LSP
XIT_Average-Regular_Approach2,8,2,0,4,10,64.0,128,2.14285714285714,3.90689059560852,2.41592206383517,292,0.6,0.6,0.8,0.3,Approach2,LSP
XMA_Average-Regular_Approach2,17,4,0,7,17,69.0,138,2.14285714285714,3.90689059560852,3.00623892865339,328,0.6,0.6,1.0,0.3,Approach2,LSP
XMA_Average-Regular_Approach2,9,1,0,7,17,69.0,138,2.14285714285714,3.90689059560852,3.00623892865339,328,0.6,0.6,1.0,0.3,Approach2,LSP
XMA_Average-Regular_Approach2,15,2,0,7,17,69.0,138,2.14285714285714,3.90689059560852,3.00623892865339,328,0.6,0.6,1.0,0.3,Approach2,LSP
XP_Average-Regular_Approach2,17,2,0,5,17,49.5,99,2.0,3.0,2.5,62,0.5,0.5,0.8,0.1,Approach2,LSP
XP_Average-Regular_Approach2,11,1,0,5,17,49.5,99,2.0,3.0,2.5,62,0.5,0.5,0.8,0.1,Approach2,LSP
XRT_Average-Regular_Approach2,23,4,0,8,23,72.5,145,2.21052631578947,4.39231742277876,2.91044049521858,384,0.7,0.7,0.9,0.4,Approach2,LSP
XRT_Average-Regular_Approach2,9,1,0,8,23,72.5,145,2.21052631578947,4.39231742277876,2.91044049521858,384,0.7,0.7,0.9,0.4,Approach2,LSP
XRT_Average-Regular_Approach2,17,2,0,8,23,72.5,145,2.21052631578947,4.39231742277876,2.91044049521858,384,0.7,0.7,0.9,0.4,Approach2,LSP
XRT_Average-Regular_Approach2,21,3,0,8,23,72.5,145,2.21052631578947,4.39231742277876,2.91044049521858,384,0.7,0.7,0.9,0.4,Approach2,LSP
XT_Average-Regular_Approach2,5,1,0,2,5,51.5,103,2.0,3.16992500144231,2.41938194564637,154,0.5,0.5,0.8,0.2,Approach2,LSP
XWI_Average-Regular_Approach2,7,1,0,2,7,63.5,127,1.8,3.16992500144231,2.72548055699787,101,0.4,0.5,0.9,0.1,Approach2,LSP
YDH_Average-Regular_Approach2,17,3,0,7,17,79.0,158,2.0,4.39231742277876,3.20091027950953,353,0.5,0.7,1.0,0.4,Approach2,LSP
YDH_Average-Regular_Approach2,8,1,0,7,17,79.0,158,2.0,4.39231742277876,3.20091027950953,353,0.5,0.7,1.0,0.4,Approach2,LSP
YDH_Average-Regular_Approach2,13,2,0,7,17,79.0,158,2.0,4.39231742277876,3.20091027950953,353,0.5,0.7,1.0,0.4,Approach2,LSP
YUT_Average-Regular_Approach2,5,1,0,2,5,65.5,131,1.8,3.16992500144231,2.11328333429487,94,0.4,0.5,0.7,0.1,Approach2,LSP
YXW_Average-Regular_Approach2,7,2,0,3,7,69.0,138,1.84615384615385,3.58496250072116,2.91829583405449,114,0.5,0.5,0.9,0.1,Approach2,LSP
YXW_Average-Regular_Approach2,5,1,0,3,7,69.0,138,1.84615384615385,3.58496250072116,2.91829583405449,114,0.5,0.5,0.9,0.1,Approach2,LSP
ZCI_Average-Regular_Approach2,16,3,0,7,19,37.5,75,2.18181818181818,3.58496250072116,2.62581458369391,349,0.6,0.5,0.9,0.4,Approach2,LSP
ZCI_Average-Regular_Approach2,12,1,0,7,19,37.5,75,2.18181818181818,3.58496250072116,2.62581458369391,349,0.6,0.5,0.9,0.4,Approach2,LSP
ZCI_Average-Regular_Approach2,14,2,0,7,19,37.5,75,2.18181818181818,3.58496250072116,2.62581458369391,349,0.6,0.5,0.9,0.4,Approach2,LSP
ZGC_Average-Regular_Approach2,18,4,0,8,20,50.5,101,2.11764705882353,4.16992500144231,2.92745122496452,316,0.6,0.6,0.9,0.3,Approach2,LSP
ZGC_Average-Regular_Approach2,11,1,0,8,20,50.5,101,2.11764705882353,4.16992500144231,2.92745122496452,316,0.6,0.6,0.9,0.3,Approach2,LSP
ZGC_Average-Regular_Approach2,16,3,0,8,20,50.5,101,2.11764705882353,4.16992500144231,2.92745122496452,316,0.6,0.6,0.9,0.3,Approach2,LSP
ZGC_Average-Regular_Approach2,14,2,0,8,20,50.5,101,2.11764705882353,4.16992500144231,2.92745122496452,316,0.6,0.6,0.9,0.3,Approach2,LSP
